request,label,attack_type
GET / HTTP/1.1,NORMAL,NORMAL
GET /index.html HTTP/1.1,NORMAL,NORMAL
GET /products HTTP/1.1,NORMAL,NORMAL
GET /products?category=electronics&sort=price_asc HTTP/1.1,NORMAL,NORMAL
GET /products/123 HTTP/1.1,NORMAL,NORMAL
GET /products/search?q=laptop+backpack HTTP/1.1,NORMAL,NORMAL
GET /products/search?q=wireless+noise+cancelling+headphones HTTP/1.1,NORMAL,NORMAL
GET /products/search?q=usb+c+hub+multiport+adapter HTTP/1.1,NORMAL,NORMAL
GET /catalog/items?page=2&limit=20 HTTP/1.1,NORMAL,NORMAL
GET /about-us HTTP/1.1,NORMAL,NORMAL
GET /contact HTTP/1.1,NORMAL,NORMAL
GET /faq HTTP/1.1,NORMAL,NORMAL
GET /terms-of-service HTTP/1.1,NORMAL,NORMAL
GET /privacy-policy HTTP/1.1,NORMAL,NORMAL
GET /blog/cybersecurity-best-practices HTTP/1.1,NORMAL,NORMAL
GET /static/css/main.css HTTP/1.1,NORMAL,NORMAL
GET /static/js/bundle.js HTTP/1.1,NORMAL,NORMAL
GET /static/images/logo.png HTTP/1.1,NORMAL,NORMAL
GET /favicon.ico HTTP/1.1,NORMAL,NORMAL
GET /api/v1/health HTTP/1.1,NORMAL,NORMAL
GET /api/v1/status HTTP/1.1,NORMAL,NORMAL
GET /api/v1/users/profile HTTP/1.1,NORMAL,NORMAL
GET /api/v1/cart HTTP/1.1,NORMAL,NORMAL
GET /api/v1/orders/recent HTTP/1.1,NORMAL,NORMAL
"POST /login HTTP/1.1
Content-Type: application/json

{""username"": ""john_doe"", ""password"": ""SuperSecretPass123!""}",NORMAL,NORMAL
"POST /login HTTP/1.1
Content-Type: application/x-www-form-urlencoded

username=alice&password=SecurePassword456",NORMAL,NORMAL
"POST /register HTTP/1.1
Content-Type: application/json

{""username"": ""new_user"", ""email"": ""user@example.com"", ""password"": ""StrongPass789!""}",NORMAL,NORMAL
